"id","weight","time","location_id"
1,2,0,2
2,7,0,3
3,10,1,4
4,11,1,5
5,2,1,6
6,13,1,7
7,9,4,8
8,11,4,9
9,5,5,10
10,9,5,11
11,14,5,12
12,11,5,13
13,6,6,14
14,15,6,15
15,15,8,16
16,1,8,17
17,14,10,18
18,10,10,19
19,10,11,20
20,10,11,21
21,12,12,22
22,5,12,23
23,12,12,24
24,11,13,25
25,9,13,26
26,4,13,27
27,13,14,28
28,11,16,29
29,3,16,30
30,9,16,31
31,8,17,32
32,11,17,33
33,7,19,34
34,9,19,35
35,9,19,36
36,1,20,37
37,4,20,38
38,3,21,39
39,6,21,40
40,5,21,41
41,7,22,42
42,14,22,43
43,9,22,44
44,2,24,45
45,6,24,46
46,8,25,47
47,9,25,48
48,8,25,49
49,2,27,50
50,9,27,51
51,10,28,52
52,7,29,53
53,6,29,54
54,10,29,55
55,2,30,56
56,14,30,57
57,11,31,58
58,8,31,59
59,7,36,60
60,3,36,61
61,4,36,62
62,14,38,63
63,6,38,64
64,9,39,65
65,12,39,66
66,4,40,67
67,9,40,68
68,8,40,69
69,5,41,70
70,9,41,71
71,7,41,72
72,7,42,73
73,12,42,74
74,8,43,75
75,5,43,76
76,3,44,77
77,13,44,78
78,12,45,79
79,12,45,80
80,10,45,81
81,12,46,82
82,7,46,83
83,4,47,84
84,13,47,85
85,5,47,86
86,3,48,87
87,6,48,88
88,9,50,89
89,2,50,90
90,1,50,91
91,8,51,92
92,8,52,93
93,4,53,94
94,12,53,95
95,12,54,96
96,1,54,97
97,15,54,98
98,15,55,99
99,3,55,100
100,5,55,101
101,3,56,102
102,3,56,103
103,2,56,104
104,10,57,105
105,7,57,106
106,11,57,107
107,4,58,108
108,3,58,109
109,14,58,110
110,3,60,111
111,14,60,112
112,11,60,113
113,11,61,114
114,4,62,115
115,11,62,116
116,10,62,117
117,9,62,118
118,1,62,119
119,7,62,120
120,10,63,121
121,15,65,122
122,9,65,123
123,12,65,124
124,8,66,125
125,7,66,126
126,5,66,127
127,8,66,128
128,14,67,129
129,3,67,130
130,4,67,131
131,12,67,132
132,6,67,133
133,12,67,134
134,5,67,135
135,12,68,136
136,9,69,137
137,14,69,138
138,15,69,139
139,3,69,140
140,5,70,141
141,12,70,142
142,4,71,143
143,7,71,144
144,11,71,145
145,8,73,146
146,6,73,147
147,8,73,148
148,10,74,149
149,11,75,150
150,10,76,151
151,8,76,152
152,8,76,153
153,13,76,154
154,2,76,155
155,10,76,156
156,15,77,157
157,14,78,158
158,11,78,159
159,6,78,160
160,4,79,161
161,13,80,162
162,10,80,163
163,3,81,164
164,15,82,165
165,12,83,166
166,14,83,167
167,5,83,168
168,5,84,169
169,2,84,170
170,8,84,171
171,8,84,172
172,9,84,173
173,3,85,174
174,13,85,175
175,10,86,176
176,4,86,177
177,13,86,178
178,12,87,179
179,15,87,180
180,4,87,181
181,14,87,182
182,6,88,183
183,11,89,184
184,7,89,185
185,10,89,186
186,15,90,187
187,3,90,188
188,1,90,189
189,15,91,190
190,1,91,191
191,5,92,192
192,10,92,193
193,12,94,194
194,6,94,195
195,6,94,196
196,4,95,197
197,8,95,198
198,8,95,199
199,8,96,200
200,6,96,201
201,5,97,202
202,6,97,203
203,14,98,204
204,13,99,205
205,9,99,206
206,2,99,207
207,6,100,208
208,1,100,209
209,15,101,210
210,8,101,211
211,7,101,212
212,14,102,213
213,5,102,214
214,5,102,215
215,8,102,216
216,3,104,217
217,13,104,218
218,8,104,219
219,13,104,220
220,14,104,221
221,3,105,222
222,10,106,223
223,13,106,224
224,9,106,225
225,8,106,226
226,1,107,227
227,8,107,228
228,12,107,229
229,1,107,230
230,2,108,231
231,5,108,232
232,9,109,233
233,6,109,234
234,1,109,235
235,13,110,236
236,11,110,237
237,3,110,238
238,12,111,239
239,9,111,240
240,9,111,241
241,6,112,242
242,9,112,243
243,9,112,244
244,14,113,245
245,12,113,246
246,9,113,247
247,9,114,248
248,12,114,249
249,3,115,250
250,6,115,251
251,13,116,252
252,11,116,253
253,2,117,254
254,5,117,255
255,1,117,256
256,11,118,257
257,10,118,258
258,7,118,259
259,1,118,260
260,2,119,261
261,5,119,262
262,15,119,263
263,13,120,264
264,9,122,265
265,3,122,266
266,12,122,267
267,11,123,268
268,11,123,269
269,11,125,270
270,9,126,271
271,14,127,272
272,4,127,273
273,11,127,274
274,3,129,275
275,12,132,276
276,10,133,277
277,6,134,278
278,5,135,279
279,10,136,280
280,9,136,281
281,13,137,282
282,14,138,283
283,11,138,284
284,8,139,285
285,6,141,286
286,9,141,287
287,10,141,288
288,13,142,289
289,9,142,290
290,8,143,291
291,2,145,292
292,6,146,293
293,7,146,294
294,7,146,295
295,7,146,296
296,3,147,297
297,15,147,298
298,11,148,299
299,1,148,300
300,15,149,301
301,12,150,302
302,2,151,303
303,2,151,304
304,3,151,305
305,6,151,306
306,6,153,307
307,7,154,308
308,8,154,309
309,5,154,310
310,8,154,311
311,7,154,312
312,3,156,313
313,3,157,314
314,14,157,315
315,6,158,316
316,13,159,317
317,15,160,318
318,9,160,319
319,9,161,320
320,9,162,321
321,3,162,322
322,11,162,323
323,5,165,324
324,2,165,325
325,11,165,326
326,7,166,327
327,13,168,328
328,8,169,329
329,8,169,330
330,15,169,331
331,1,170,332
332,7,170,333
333,8,170,334
334,8,171,335
335,9,171,336
336,5,172,337
337,15,173,338
338,9,174,339
339,9,175,340
340,4,175,341
341,12,176,342
342,10,176,343
343,12,177,344
344,3,178,345
345,10,178,346
346,9,178,347
347,6,179,348
348,12,180,349
349,3,181,350
350,4,181,351
351,8,181,352
352,7,181,353
353,11,182,354
354,13,183,355
355,14,184,356
356,14,185,357
357,2,186,358
