30,572,986,1327,682,1230,818,486,982,301,1080,598,479,414,717,368,942,374,706,696,347,656,612,1215,832,496,590,567,1130,1101,514,638,432,1083,837,428,953,261,675,672,95,404,849,134,934,472,1112,472,461,155,1378,970,499,1044,818,316,584,405,861,672,405,1283,526,598,828,1311,1238,791,622,885,589
572,30,475,808,141,743,344,316,445,594,548,225,202,863,363,540,440,257,277,411,644,377,256,676,371,107,363,347,589,618,498,104,325,542,354,390,414,420,344,130,542,278,316,480,396,452,580,652,247,621,857,474,213,514,295,344,149,197,431,223,244,742,80,340,288,778,702,290,313,350,238
986,475,30,636,391,681,210,574,335,917,402,428,640,1197,376,830,474,642,564,740,951,461,622,422,211,546,515,524,265,608,699,400,622,327,498,666,181,863,410,392,942,622,202,906,179,685,419,894,565,1002,665,505,523,131,211,788,543,627,609,534,612,439,525,718,245,550,470,457,446,338,619
1327,808,636,30,702,205,763,1055,405,1370,299,907,880,1641,934,1307,415,1035,661,752,1417,1009,760,252,783,877,1042,1041,410,292,1222,765,1083,347,523,1144,524,1123,954,716,1308,1049,620,1225,541,1191,270,1405,1006,1393,83,391,964,538,664,1051,772,965,536,687,1020,284,845,813,607,141,201,566,969,493,778
682,141,391,702,30,648,297,396,335,698,439,269,282,970,374,638,345,365,247,413,746,413,272,565,328,216,417,407,482,526,576,98,417,432,275,480,310,519,368,45,652,378,222,588,293,535,471,743,338,731,750,381,298,416,213,443,183,307,371,199,348,631,187,368,187,668,591,208,354,241,264
1230,743,681,205,648,30,772,1013,394,1306,309,875,782,1567,931,1253,334,967,555,614,1357,997,649,354,796,804,1019,1014,486,159,1190,715,1034,387,428,1098,544,1014,943,662,1219,991,617,1127,556,1152,294,1361,955,1309,249,299,915,593,659,947,684,887,406,591,957,417,773,688,592,293,311,485,948,457,671
818,344,210,763,297,772,30,394,408,737,502,252,517,1017,205,650,508,474,508,678,770,287,538,565,62,404,337,345,422,674,522,274,443,447,489,486,269,715,233,291,770,447,187,743,252,506,528,717,390,827,800,545,350,297,149,644,441,474,601,464,442,599,390,633,221,692,609,431,266,361,528
486,316,574,1055,396,1013,394,30,680,373,786,183,403,654,263,290,711,192,561,672,409,200,520,889,400,290,138,113,766,892,212,329,85,757,636,123,592,467,221,382,430,133,482,438,571,169,817,380,109,471,1099,748,133,654,440,422,421,271,717,507,164,939,310,582,482,1006,924,570,169,594,496
982,445,335,405,335,394,408,680,30,1000,136,532,550,1275,570,933,181,670,372,526,1046,640,463,264,433,519,669,667,236,305,848,394,710,139,250,770,186,799,585,348,956,679,254,884,195,816,167,1030,634,1036,450,205,590,271,297,723,437,610,341,373,652,339,488,545,234,363,287,250,596,127,474
301,594,917,1370,698,1306,737,373,1000,30,1106,524,582,311,592,130,1003,368,801,849,88,512,726,1220,742,532,447,431,1106,1179,301,636,329,1087,910,282,929,463,551,684,241,351,818,344,908,281,1137,202,399,198,1418,1036,443,996,779,477,658,454,965,754,381,1275,563,747,812,1332,1252,851,506,908,700
