30,970,584,486,479,598,706,459,952,1327,461,885,1378,982,598,155,1112,514,837,1311,404
970,30,418,748,521,615,300,559,297,391,687,215,444,205,456,1043,232,927,163,403,722
584,418,30,421,143,344,175,176,431,772,345,342,824,437,225,655,561,600,286,759,362
486,748,421,30,403,183,561,300,613,1055,109,594,1099,680,582,471,817,212,636,1006,133
479,521,143,403,30,371,259,134,542,880,324,455,931,550,211,559,673,571,388,870,321
598,615,344,183,371,30,466,275,461,907,168,451,950,532,532,605,668,346,514,855,226
706,300,175,561,259,466,30,320,402,661,487,291,714,372,202,787,474,742,170,664,507
459,559,176,300,134,275,320,30,525,906,221,457,957,554,312,517,685,471,430,884,223
952,297,431,613,542,461,402,525,30,484,575,144,524,131,571,995,246,773,305,424,625
1327,391,772,1055,880,907,661,906,484,30,1006,493,83,405,813,1393,270,1222,523,141,1049
461,687,345,109,324,168,487,221,575,1006,30,544,1053,634,503,468,771,285,570,964,88
885,215,342,594,455,451,291,457,144,493,544,30,540,127,463,940,261,767,192,458,587
1378,444,824,1099,931,950,714,957,524,83,1053,540,30,450,867,1443,313,1265,575,149,1097
982,205,437,680,550,532,372,554,131,405,634,127,450,30,545,1036,167,848,250,363,679
598,456,225,582,211,532,202,312,571,813,503,463,867,545,30,698,643,752,335,828,502
155,1043,655,471,559,605,787,517,995,1393,468,940,1443,1036,698,30,1170,451,911,1368,411
1112,232,561,817,673,668,474,685,246,270,771,261,313,167,643,1170,30,983,337,229,816
514,927,600,212,571,346,742,471,773,1222,285,767,1265,848,752,451,983,30,817,1167,280
837,163,286,636,388,514,170,430,305,523,570,192,575,250,335,911,337,817,30,525,600
1311,403,759,1006,870,855,664,884,424,141,964,458,149,363,828,1368,229,1167,525,30,1011
404,722,362,133,321,226,507,223,625,1049,88,587,1097,679,502,411,816,280,600,1011,30
