30,672,832,869,1080,247,837,986,301,261,952,818,564,942,590,95,526,320,675,472,861
672,30,321,285,452,496,289,392,684,513,310,291,254,359,403,641,177,467,355,729,385
832,321,30,136,525,620,520,211,742,737,335,62,541,537,334,783,416,707,228,713,632
869,285,136,30,419,665,437,147,809,747,230,116,508,441,418,826,410,709,318,798,550
1080,452,525,419,30,917,309,402,1106,891,220,502,569,209,774,1056,589,835,687,1136,373
247,496,620,665,917,30,703,780,246,281,769,607,454,800,375,194,360,308,458,369,753
837,289,520,437,309,703,30,498,910,630,305,489,306,139,662,823,378,571,608,976,143
986,392,211,147,402,780,498,30,917,863,238,210,612,474,515,942,525,823,410,894,609
301,684,742,809,1106,246,910,917,30,463,944,737,668,1003,447,241,563,505,551,202,965
261,513,737,747,891,281,630,863,463,30,787,715,354,738,573,279,369,91,627,613,640
952,310,335,230,220,769,305,238,944,787,30,313,488,267,590,920,457,737,500,959,411
818,291,62,116,502,607,489,210,737,715,313,30,511,508,337,770,390,683,233,717,601
564,254,541,508,569,454,306,612,668,354,488,511,30,414,532,555,190,297,525,764,332
942,359,537,441,209,800,139,474,1003,738,267,508,414,30,724,926,471,680,656,1057,196
590,403,334,418,774,375,662,515,447,573,590,337,532,724,30,531,372,567,137,410,755
95,641,783,826,1056,194,823,942,241,279,920,770,555,926,531,30,498,332,620,411,856
526,177,416,410,589,360,378,525,563,369,457,390,190,471,372,498,30,329,368,632,444
320,467,707,709,835,308,571,823,505,91,737,683,297,680,567,332,329,30,612,646,580
675,355,228,318,687,458,608,410,551,627,500,233,525,656,137,620,368,612,30,515,708
472,729,713,798,1136,369,976,894,202,613,959,717,764,1057,410,411,632,646,515,30,1047
861,385,632,550,373,753,143,609,965,640,411,601,332,196,755,856,444,580,708,1047,30
