"lon","lat"
7.6503014,51.9498799
7.6365,51.96259
7.6235569,51.9530873
7.5970566,51.9556294
7.6237645,51.9527276
7.60168,51.9701
7.6380005,51.9639647
7.6174242,51.9445123
7.63366,51.96637
7.6458742,51.9736959
7.6451,51.94999
7.5982961,51.966712
7.62813,51.95329
7.6500009,51.9681734
7.6018463,51.9759456
7.6212114,51.95129
7.642595,51.9682181
7.631613,51.976188
7.58923,51.96915
7.60876,51.95112
7.6673981,51.9586703
7.6105,51.95649
7.6258528,51.9616031
7.6224002,51.9518166
7.6166964,51.9532809
7.58469,51.9653
7.6154369,51.969254
7.59878,51.96643
7.6233189,51.9562418
7.655372,51.9713844
7.60564,51.96635
7.6192547,51.9668008
7.6039698,51.9577489
7.621907,51.9781995
7.65641,51.96452
7.6359981,51.9474428
7.6320987,51.9498832
7.6129733,51.9797401
7.6214501,51.9766836
7.6186482,51.9551729
7.654528,51.954503
7.6396278,51.9668951
7.6329324,51.9738727
7.6365,51.96489
7.59061,51.95608
7.60817,51.97811
7.6390387,51.9472659
7.6089137,51.9701708
7.60884,51.96836
7.63802,51.96911
7.64138,51.97113
