"lon","lat"
7.6503014,51.9498799
7.60034,51.96608
7.60876,51.95112
7.6343981,51.9693705
7.6365,51.96259
7.6166964,51.9532809
7.6365,51.96489
7.6334061,51.9580046
7.6367754,51.9730844
7.60564,51.96635
7.5951649,51.971603
7.6358143,51.9658416
7.6217966,51.958984
7.6343074,51.9767622
7.6089137,51.9701708
7.6529,51.95536
7.62813,51.95329
7.63802,51.96911
7.6233189,51.9562418
7.6359981,51.9474428
7.61016,51.9646
7.6222619,51.9709284
7.6101736,51.9727101
7.6304497,51.970202
7.6458742,51.9736959
7.6214501,51.9766836
7.6500009,51.9681734
7.63366,51.96637
7.5933084,51.9698742
7.642595,51.9682181
7.58469,51.9653
