"lon","lat"
7.6503014,51.9498799
7.6089137,51.9701708
7.60448,51.9628627
7.655372,51.9713844
7.6214501,51.9766836
7.6154369,51.969254
7.654528,51.954503
7.60168,51.9701
7.6129733,51.9797401
7.6389544,51.9726463
7.6458742,51.9736959
7.6301426,51.9776724
7.6111634,51.9724975
7.58469,51.9653
7.58384,51.96231
7.6343074,51.9767622
7.5930105,51.975277
7.6334061,51.9580046
7.637205,51.9610634
7.61075,51.95068
7.6451,51.94999
7.6018463,51.9759456
7.60884,51.96836
7.5933084,51.9698742
7.60564,51.96635
7.6540233,51.9628922
7.60817,51.97811
7.59878,51.96643
7.6233189,51.9562418
7.6035977,51.9729912
7.6485237,51.9643947
