30,155,952,1327,472,452,533,345,394,479,1112,821,1083,414,95,910,675,706,405,628,849,405,404,374,368,320,539,837,1378,942,672,514,486,301,572,1311,316,832,791,672,589
155,30,995,1393,419,552,531,307,488,559,1170,909,1132,301,125,939,661,787,458,691,880,425,411,400,286,427,508,911,1443,1013,719,451,471,198,621,1368,413,836,860,748,675
952,995,30,484,744,636,540,764,646,542,246,422,175,1222,920,144,500,402,577,371,166,602,625,624,871,737,633,305,524,267,310,773,613,944,410,424,710,335,281,388,486
1327,1393,484,30,1191,936,983,1193,975,880,270,574,347,1641,1308,591,954,661,965,733,620,1020,1049,1035,1307,1064,1082,523,83,415,716,1222,1055,1370,808,141,1051,783,566,687,778
472,419,744,1191,30,590,238,160,525,517,952,822,889,550,408,658,308,694,377,548,611,267,227,282,183,536,147,773,1234,850,520,85,169,281,452,1139,495,505,708,641,620
452,552,636,936,590,30,474,495,100,143,746,406,741,822,457,640,600,306,250,300,579,359,397,339,603,164,564,445,989,554,386,645,491,609,315,939,169,657,416,290,191
533,531,540,983,238,474,30,265,422,375,745,633,685,724,481,460,177,508,258,357,409,172,160,205,362,470,142,573,1027,644,316,275,103,443,261,933,426,336,507,454,455
345,307,764,1193,160,495,265,30,426,441,959,774,907,491,282,692,385,644,302,512,638,209,175,206,149,422,231,743,1240,831,508,209,198,211,422,1153,384,568,682,594,554
394,488,646,975,525,100,422,426,30,135,774,457,760,758,394,637,556,345,195,305,575,299,335,276,534,122,505,482,1027,590,380,580,432,540,296,970,108,632,444,319,228
479,559,542,880,517,143,375,441,135,30,673,381,657,823,467,535,493,259,172,200,473,280,321,269,557,226,474,388,931,494,278,571,403,582,202,870,204,544,345,223,148
1112,1170,246,270,952,746,745,959,774,673,30,426,124,1411,1088,356,715,474,743,514,381,788,816,806,1071,866,843,337,313,234,484,983,817,1137,580,229,847,549,361,487,586
821,909,422,574,822,406,633,774,457,381,426,30,459,1174,817,494,689,160,506,306,458,597,636,598,893,539,745,146,628,223,365,870,688,929,403,597,536,624,192,212,264
1083,1132,175,347,889,741,685,907,760,657,124,459,30,1364,1054,274,641,481,709,490,309,742,767,763,1015,852,777,354,383,269,443,917,757,1087,542,280,829,466,359,482,583
414,301,1222,1641,550,822,724,491,758,823,1411,1174,1364,30,395,1152,827,1050,710,942,1098,653,627,636,399,697,664,1169,1689,1267,957,555,654,311,863,1607,683,1020,1113,1008,940
95,125,920,1308,408,457,481,282,394,467,1088,817,1054,395,30,871,620,696,376,606,811,360,353,331,303,332,479,823,1359,926,641,450,430,241,542,1287,318,783,773,658,583
910,939,144,591,658,640,460,692,637,535,356,494,274,1152,871,30,399,445,540,370,93,544,561,570,792,724,543,380,628,367,287,681,532,872,379,521,692,223,337,416,505
675,661,500,954,308,600,177,385,556,493,715,689,641,827,620,399,30,577,395,426,364,319,306,353,458,612,193,608,993,656,355,320,221,551,344,889,568,228,542,524,551
706,787,402,661,694,306,508,644,345,259,474,160,481,1050,696,445,577,30,377,183,395,468,507,469,764,433,620,170,714,278,257,742,561,801,277,664,423,539,154,84,148
405,458,577,965,377,250,258,302,195,172,743,506,709,710,376,540,395,377,30,263,478,141,181,128,420,248,343,489,1015,587,297,431,271,454,197,941,205,495,434,331,283
628,691,371,733,548,300,357,512,305,200,514,306,490,942,606,370,426,183,263,30,310,333,369,341,631,396,469,261,783,355,124,594,412,679,127,712,370,414,202,129,174
849,880,166,620,611,579,409,638,575,473,381,458,309,1098,811,93,364,395,478,310,30,485,504,511,741,662,498,347,660,353,225,638,482,818,316,559,629,214,296,363,447
405,425,602,1020,267,359,172,209,299,280,788,597,742,653,360,544,319,468,141,333,485,30,71,64,328,333,237,564,1068,653,335,321,164,381,244,984,289,457,503,417,385
404,411,625,1049,227,397,160,175,335,321,816,636,767,627,353,561,306,507,181,369,504,71,30,90,292,363,205,600,1097,687,364,280,133,351,278,1011,319,460,538,455,425
374,400,624,1035,282,339,205,206,276,269,806,598,763,636,331,570,353,469,128,341,511,64,90,30,325,303,264,572,1084,664,352,336,192,368,257,1003,260,489,512,419,379
368,286,871,1307,183,603,362,149,534,557,1071,893,1015,399,303,792,458,764,420,631,741,328,292,325,30,517,295,862,1353,949,623,200,290,130,540,1263,482,652,800,714,672
320,427,737,1064,536,164,470,422,122,226,866,539,852,697,332,724,612,433,248,396,662,333,363,303,517,30,538,571,1117,680,467,591,465,505,378,1061,74,707,535,410,316
539,508,633,1082,147,564,142,231,505,474,843,745,777,664,479,543,193,620,343,469,498,237,205,264,295,538,30,684,1125,753,426,170,103,389,373,1027,494,389,618,566,562
837,911,305,523,773,445,573,743,482,388,337,146,354,1169,823,380,608,170,489,261,347,564,600,572,862,571,684,30,575,139,289,817,636,910,354,525,558,520,97,195,286
1378,1443,524,83,1234,989,1027,1240,1027,931,313,628,383,1689,1359,628,993,714,1015,783,660,1068,1097,1084,1353,1117,1125,575,30,467,763,1265,1099,1418,857,149,1103,818,617,739,831
942,1013,267,415,850,554,644,831,590,494,234,223,269,1267,926,367,656,278,587,355,353,653,687,664,949,680,753,139,467,30,359,889,711,1003,440,417,666,537,183,301,394
672,719,310,716,520,386,316,508,380,278,484,365,443,957,641,287,355,257,297,124,225,335,364,352,623,467,426,289,763,359,30,561,382,684,130,681,436,321,223,208,268
514,451,773,1222,85,645,275,209,580,571,983,870,917,555,450,681,320,742,431,594,638,321,280,336,200,591,170,817,1265,889,561,30,212,301,498,1167,550,518,751,689,672
