"id","weight","time","location_id"
1,10,7,2
2,3,11,3
3,14,14,4
4,8,11,5
5,6,22,6
6,6,16,7
7,10,6,8
8,10,11,9
9,8,9,10
10,1,25,11
11,12,7,12
12,2,24,13
13,15,1,14
14,2,17,15
15,11,24,16
16,10,29,17
17,1,8,18
18,10,4,19
19,2,11,20
20,2,27,21
21,13,1,22
22,8,27,23
23,2,29,24
24,1,4,25
25,4,17,26
26,11,3,27
27,5,19,28
28,13,2,29
29,2,20,30
30,6,26,31
31,6,12,32
32,6,17,33
33,2,4,34
34,11,2,35
35,11,2,36
36,9,13,37
37,13,4,38
38,14,10,39
39,8,18,40
40,13,15,41
41,2,23,42
42,15,13,43
43,7,21,44
44,2,11,45
45,2,11,46
46,10,29,47
47,9,9,48
48,11,24,49
49,5,6,50
50,6,28,51
51,10,12,52
52,1,11,53
53,15,5,54
54,5,1,55
55,3,18,56
56,6,22,57
57,2,30,58
58,14,8,59
59,3,14,60
60,8,29,61
61,5,22,62
62,5,1,63
63,7,6,64
64,5,21,65
65,3,4,66
66,7,27,67
67,14,11,68
68,5,21,69
69,11,30,70
70,11,4,71
71,6,21,72
72,12,14,73
73,13,27,74
74,7,18,75
75,10,21,76
76,10,29,77
77,5,16,78
78,11,17,79
79,5,14,80
80,4,14,81
81,14,6,82
82,10,10,83
83,4,19,84
84,12,17,85
85,7,28,86
86,14,16,87
87,2,16,88
88,10,28,89
89,2,19,90
90,6,21,91
