"id","weight","time","location_id"
1,14,27,2
2,6,12,3
3,7,2,4
4,9,16,5
5,5,4,6
6,7,27,7
7,7,7,8
8,6,19,9
9,1,12,10
10,15,24,11
11,3,29,12
12,9,21,13
13,11,1,14
14,13,29,15
15,10,15,16
16,1,30,17
17,6,13,18
18,13,6,19
19,8,23,20
20,14,10,21
21,15,19,22
22,5,18,23
23,1,2,24
24,7,12,25
25,12,10,26
26,14,14,27
27,11,11,28
28,8,23,29
29,11,29,30
30,13,7,31
31,12,25,32
32,11,2,33
33,7,28,34
34,7,29,35
35,13,25,36
36,6,20,37
37,10,10,38
38,2,26,39
39,13,26,40
40,1,12,41
41,3,26,42
42,8,17,43
43,11,18,44
44,9,1,45
45,14,27,46
46,5,20,47
47,9,17,48
48,11,21,49
49,3,28,50
50,11,6,51
