"lon","lat"
7.6503014,51.9498799
7.6414876,51.9604829
7.6217966,51.958984
7.6237645,51.9527276
7.6186482,51.9551729
7.60168,51.9701
7.5951649,51.971603
7.6039698,51.9577489
7.6540233,51.9628922
7.6233189,51.9562418
7.6451868,51.96475
7.6224002,51.9518166
7.61323,51.9584
7.60034,51.96608
7.62209,51.94656
7.60817,51.97811
7.6365,51.96259
7.5970566,51.9556294
7.61016,51.9646
7.62813,51.95329
7.6105,51.95649
7.5933084,51.9698742
7.6343981,51.9693705
7.6101736,51.9727101
7.6360101,51.9496374
7.65641,51.96452
7.65,51.9531224
7.6304497,51.970202
7.6177239,51.9720578
7.621907,51.9781995
7.596053,51.9585394
