30,306,628,564,672,1083,1215,970,301,584,345,589,791,1080,598,1044,405,1101,885,479,837,1238,533,953,316,347,95,598,818,832,1129
306,30,425,417,499,849,983,782,285,403,143,449,597,861,508,784,138,924,662,333,655,1012,257,702,273,339,255,324,559,558,940
628,425,30,161,129,490,619,387,679,93,512,174,202,482,279,500,333,529,288,200,261,640,357,390,370,731,606,313,304,414,545
564,417,161,30,143,592,715,438,668,101,521,63,269,569,158,626,352,567,391,118,306,729,425,513,283,724,555,404,435,541,596
672,499,129,143,30,482,603,328,754,126,594,131,156,456,216,534,417,462,284,223,195,616,454,420,394,808,658,412,368,495,487
1083,849,490,592,482,30,164,281,1087,544,907,583,359,115,653,236,742,334,232,657,354,197,685,208,829,1130,1054,605,353,466,287
1215,983,619,715,603,164,30,358,1220,671,1040,703,478,181,765,321,876,352,361,784,461,81,816,331,958,1263,1187,736,481,581,292
970,782,387,438,328,281,358,30,1036,418,866,417,216,212,456,446,688,175,215,521,163,353,681,354,691,1088,955,615,427,574,189
301,285,679,668,754,1087,1220,1036,30,658,211,700,851,1106,747,996,381,1179,908,582,910,1252,443,929,477,88,241,524,779,742,1193
584,403,93,101,126,544,671,418,658,30,499,120,236,530,225,562,323,555,342,143,286,689,374,451,316,712,567,344,366,470,577
345,143,512,521,594,907,1040,866,211,499,30,554,682,927,618,817,209,1010,731,441,743,1073,265,748,384,255,282,344,598,568,1020
589,449,174,63,131,583,703,417,700,120,554,30,256,555,135,628,385,543,384,148,286,715,455,514,306,756,583,431,445,558,574
791,597,202,269,156,359,478,216,851,236,682,256,30,330,326,437,503,358,168,345,97,490,507,323,518,902,773,448,318,462,374
1080,861,482,569,456,115,181,212,1106,530,927,555,330,30,614,317,757,249,229,642,309,190,714,267,816,1152,1056,638,398,525,203
598,508,279,158,216,653,765,456,747,225,618,135,326,614,30,720,461,563,463,211,335,771,548,605,315,805,603,532,547,663,603
1044,784,500,626,534,236,321,446,996,562,817,628,437,317,720,30,676,532,303,667,465,370,583,145,826,1032,1005,503,256,305,490
405,138,333,352,417,742,876,688,381,323,209,385,503,757,461,676,30,831,558,280,564,906,172,594,289,430,360,224,451,457,843
1101,924,529,567,462,334,352,175,1179,555,1010,543,358,249,563,532,831,30,348,653,299,325,826,461,818,1230,1090,759,558,701,92
885,662,288,391,284,232,361,215,908,342,731,384,168,229,463,303,558,348,30,455,192,383,524,192,627,955,859,451,242,389,337
479,333,200,118,223,657,784,521,582,143,441,148,345,642,211,667,280,653,455,30,388,801,375,559,204,639,467,371,459,544,680
837,655,261,306,195,354,461,163,910,286,743,286,97,309,335,465,564,299,192,388,30,466,573,354,558,962,823,514,373,520,322
1238,1012,640,729,616,197,81,353,1252,689,1073,715,490,190,771,370,906,325,383,801,466,30,852,372,975,1297,1212,773,520,626,263
533,257,357,425,454,685,816,681,443,374,265,455,507,714,548,583,172,826,524,375,573,852,30,519,426,481,481,111,368,336,827
953,702,390,513,420,208,331,354,929,451,748,514,323,267,605,145,594,461,192,559,354,372,519,30,723,969,918,439,182,289,430
316,273,370,283,394,829,958,691,477,316,384,306,518,816,315,826,289,818,627,204,558,975,426,723,30,535,318,456,609,667,849
347,339,731,724,808,1130,1263,1088,88,712,255,756,902,1152,805,1032,430,1230,955,639,962,1297,481,969,535,30,292,561,818,772,1243
95,255,606,555,658,1054,1187,955,241,567,282,583,773,1056,603,1005,360,1090,859,467,823,1212,481,918,318,292,30,549,778,783,1114
598,324,313,404,412,605,736,615,524,344,344,431,448,638,532,503,224,759,451,371,514,773,111,439,456,561,549,30,287,264,756
818,559,304,435,368,353,481,427,779,366,598,445,318,398,547,256,451,558,242,459,373,520,368,182,609,818,778,287,30,179,541
832,558,414,541,495,466,581,574,742,470,568,558,462,525,663,305,457,701,389,544,520,626,336,289,667,772,783,264,179,30,680
1129,940,545,596,487,287,292,189,1193,577,1020,574,374,203,603,490,843,92,337,680,322,263,827,430,849,1243,1114,756,541,680,30
