30,1080,869,983,499,1101,1311,472,706,396,1382,934,1044,1327,731,394,1129,910,1072,1215,858,428,316,151,986,567,374,491,414,320,672,1083,1112,432,95,134,461,818,942,533,496,1378,656,791,1130,832,526,885,938,572,404
1080,30,419,135,696,249,261,1136,445,1024,369,282,317,299,479,743,203,332,183,181,461,876,816,1103,402,772,774,857,1379,835,456,115,62,816,1056,981,740,398,209,714,620,343,742,330,230,525,589,229,206,548,784
869,419,30,392,408,599,605,798,479,702,750,167,218,678,169,626,575,117,308,479,639,559,673,851,147,424,525,521,1090,709,442,361,443,511,826,788,451,104,441,396,430,713,372,385,338,136,410,294,253,361,507
983,135,392,30,618,237,360,1062,341,947,443,265,344,380,421,640,219,311,233,285,372,800,714,1010,408,707,685,786,1291,732,352,185,164,738,961,882,660,352,114,642,528,429,688,226,297,494,496,149,170,458,701
499,696,408,618,30,793,920,476,459,359,1030,496,591,964,276,361,798,462,646,807,664,212,368,473,523,178,158,211,722,411,405,674,728,150,451,430,74,368,612,92,192,1010,238,469,694,364,209,501,528,213,129
1101,249,599,237,793,30,342,1238,426,1118,326,470,532,292,620,740,92,517,401,352,333,975,818,1147,608,898,840,969,1438,826,462,334,249,911,1090,997,832,558,212,826,677,344,887,358,447,701,646,348,377,618,866
1311,261,605,360,920,342,30,1354,664,1246,204,474,449,141,692,970,282,521,327,158,634,1097,1044,1333,550,984,1003,1074,1607,1061,681,280,229,1039,1287,1211,964,603,417,933,851,149,944,556,317,708,820,458,423,778,1011
472,1136,798,1062,476,1238,1354,30,884,155,1472,914,984,1405,692,664,1244,872,1066,1234,1083,293,612,354,894,403,448,310,380,646,833,1104,1166,357,411,505,437,783,1057,451,605,1449,465,912,1104,713,632,944,963,652,408
706,445,479,341,459,426,664,884,30,760,711,430,555,661,400,345,456,445,503,595,236,628,423,755,564,594,469,639,1050,433,84,481,474,563,696,602,487,406,278,508,309,714,617,154,572,539,283,291,370,277,507
396,1024,702,947,359,1118,1246,155,760,30,1358,812,890,1292,588,542,1126,772,963,1129,958,178,494,293,806,312,323,212,426,530,709,997,1055,239,331,407,318,680,938,343,481,1337,388,791,1006,627,509,830,853,531,284
1382,369,750,443,1030,326,204,1472,711,1358,30,613,610,103,818,1027,286,663,479,323,626,1211,1104,1418,709,1110,1098,1194,1703,1115,741,419,340,1150,1366,1280,1072,735,470,1051,938,92,1080,623,482,855,906,558,544,870,1114
934,282,167,265,496,470,474,914,430,812,613,30,157,541,254,646,441,80,182,350,554,664,705,932,179,542,599,635,1188,736,407,226,306,610,898,844,541,162,326,499,472,579,501,315,229,273,445,189,125,396,593
1044,317,218,344,591,532,449,984,555,890,610,157,30,538,346,770,490,165,167,321,665,746,826,1034,131,611,703,709,1277,858,534,236,330,698,1005,958,635,256,420,583,589,565,553,437,164,305,564,303,225,514,690
1327,299,678,380,964,292,141,1405,661,1292,103,541,538,30,748,975,241,591,406,252,594,1144,1051,1359,636,1041,1035,1126,1641,1064,687,347,270,1083,1308,1225,1006,664,415,983,877,83,1009,566,410,783,845,493,475,808,1049
731,479,169,421,276,620,692,692,400,588,818,254,346,748,30,495,610,217,406,572,587,440,537,717,286,323,388,412,965,574,353,442,508,387,689,650,320,124,443,275,295,790,298,339,450,176,277,303,303,230,374
394,743,626,640,361,740,970,664,345,542,1027,646,770,975,495,30,771,637,764,887,496,453,108,460,739,503,276,494,758,122,319,760,774,402,394,290,358,559,590,422,233,1027,569,444,829,632,247,558,624,296,335
1129,203,575,219,798,92,282,1244,456,1126,286,441,490,241,610,771,30,491,356,292,386,981,849,1169,573,895,855,971,1457,859,487,287,197,917,1114,1026,839,541,220,827,692,294,877,374,397,680,661,337,352,629,876
910,332,117,311,462,517,521,872,445,772,663,80,165,591,217,637,491,30,226,396,584,625,692,902,150,499,570,593,1152,724,416,274,356,573,871,823,506,124,367,460,454,628,454,337,264,223,429,224,171,379,561
1072,183,308,233,646,401,327,1066,503,963,479,182,167,406,406,764,356,226,30,201,573,816,829,1077,261,694,743,787,1338,855,496,99,193,761,1040,979,690,313,317,650,607,438,649,380,99,411,578,243,170,530,741
1215,181,479,285,807,352,158,1234,595,1129,323,350,321,252,572,887,292,396,201,30,606,981,958,1230,422,863,897,954,1498,979,603,164,156,924,1187,1118,851,481,360,816,751,275,820,478,189,581,720,361,311,676,900
858,461,639,372,664,333,634,1083,236,958,626,554,665,594,587,496,386,584,573,606,30,830,573,925,702,800,665,844,1222,569,290,527,480,766,860,754,692,572,288,714,511,647,820,284,638,716,487,395,469,483,707
428,876,559,800,212,975,1097,293,628,178,1211,664,746,1144,440,453,981,625,816,981,830,30,424,360,666,182,209,93,562,466,575,849,907,95,366,398,174,533,794,196,349,1190,268,649,859,489,375,683,705,390,155
316,816,673,714,368,818,1044,612,423,494,1104,705,826,1051,537,108,849,692,829,958,573,424,30,387,788,499,260,473,683,74,394,829,847,383,318,212,354,609,666,426,272,1103,574,518,892,667,294,627,690,344,319
151,1103,851,1010,473,1147,1333,354,755,293,1418,932,1034,1359,717,460,1169,902,1077,1230,925,360,387,30,966,509,364,421,327,403,715,1096,1135,382,103,219,431,809,979,494,513,1409,597,826,1131,800,544,905,949,585,374
986,402,147,408,523,608,550,894,564,806,709,179,131,636,286,739,573,150,261,422,702,666,788,966,30,524,642,624,1197,823,534,327,419,622,942,906,565,211,474,506,546,665,461,457,265,211,525,338,272,475,622
567,772,424,707,178,898,984,403,594,312,1110,542,611,1041,323,503,895,499,694,863,800,182,499,509,524,30,271,130,707,543,540,734,801,166,509,521,176,412,716,118,340,1083,119,585,731,344,354,589,597,347,214
374,774,525,685,158,840,1003,448,469,323,1098,599,703,1035,388,276,855,570,743,897,665,209,260,364,642,271,30,248,636,303,419,763,806,156,331,302,130,477,664,205,194,1084,349,512,797,489,224,576,616,257,90
491,857,521,786,211,969,1074,310,639,212,1194,635,709,1126,412,494,971,593,787,954,844,93,473,421,624,130,248,30,607,516,585,824,887,122,429,459,184,503,787,174,366,1170,211,648,827,444,387,668,683,394,188
414,1379,1090,1291,722,1438,1607,380,1050,426,1703,1188,1277,1641,965,758,1457,1152,1338,1498,1222,562,683,327,1197,707,636,607,30,697,1008,1364,1411,609,395,509,678,1059,1267,724,795,1689,784,1113,1386,1020,827,1181,1217,863,627
320,835,709,732,411,826,1061,646,433,530,1115,736,858,1064,574,122,859,724,855,979,569,466,74,403,823,543,303,516,697,30,410,852,866,426,332,219,398,643,680,470,309,1117,617,535,920,707,329,650,716,378,363
672,456,442,352,405,462,681,833,84,709,741,407,534,687,353,319,487,416,496,603,290,575,394,715,534,540,419,585,1008,410,30,482,487,511,658,569,434,368,301,454,258,739,563,156,564,495,231,284,359,223,455
1083,115,361,185,674,334,280,1104,481,997,419,226,236,347,442,760,287,274,99,164,527,849,829,1096,327,734,763,824,1364,852,482,30,124,792,1054,987,718,353,269,685,618,383,696,359,147,466,588,232,177,542,767
1112,62,443,164,728,249,229,1166,474,1055,340,306,330,270,508,774,197,356,193,156,480,907,847,1135,419,801,806,887,1411,866,487,124,30,847,1088,1013,771,425,234,745,652,313,770,361,230,549,621,261,235,580,816
432,816,511,738,150,911,1039,357,563,239,1150,610,698,1083,387,402,917,573,761,924,766,95,383,382,622,166,156,122,609,426,511,792,847,30,375,385,109,480,730,146,285,1129,254,585,807,450,310,621,646,325,97
95,1056,826,961,451,1090,1287,411,696,331,1366,898,1005,1308,689,394,1114,871,1040,1187,860,366,318,103,942,509,331,429,395,332,658,1054,1088,375,30,146,411,778,926,481,467,1359,597,773,1096,783,498,859,908,542,353
134,981,788,882,430,997,1211,505,602,407,1280,844,958,1225,650,290,1026,823,979,1118,754,398,212,219,906,521,302,459,509,219,569,987,1013,385,146,30,397,733,840,473,403,1276,607,689,1039,760,431,787,843,480,343
461,740,451,660,74,832,964,437,487,318,1072,541,635,1006,320,358,839,506,690,851,692,174,354,431,565,176,130,184,678,398,434,718,771,109,411,397,30,413,651,106,212,1053,250,506,739,402,235,544,572,247,88
818,398,104,352,368,558,603,783,406,680,735,162,256,664,124,559,541,124,313,481,572,533,609,809,211,412,477,503,1059,643,368,353,425,480,778,733,413,30,390,368,368,704,375,318,357,179,345,242,222,295,467
942,209,441,114,612,212,417,1057,278,938,470,326,420,415,443,590,220,367,317,360,288,794,666,979,474,716,664,787,1267,680,301,269,234,730,926,840,651,390,30,644,502,467,708,183,381,537,471,178,232,440,687
533,714,396,642,92,826,933,451,508,343,1051,499,583,983,275,422,827,460,650,816,714,196,426,494,506,118,205,174,724,470,454,685,745,146,481,473,106,368,644,30,252,1027,178,507,694,336,266,524,542,261,160
496,620,430,528,192,677,851,605,309,481,938,472,589,877,295,233,692,454,607,751,511,349,272,513,546,340,194,366,795,309,258,618,652,285,467,403,212,368,502,252,30,926,388,349,666,429,61,423,472,107,227
1378,343,713,429,1010,344,149,1449,714,1337,92,579,565,83,790,1027,294,628,438,275,647,1190,1103,1409,665,1083,1084,1170,1689,1117,739,383,313,1129,1359,1276,1053,704,467,1027,926,30,1048,617,434,818,895,540,517,857,1097
656,742,372,688,238,887,944,465,617,388,1080,501,553,1009,298,569,877,454,649,820,820,268,574,597,461,119,349,211,784,617,563,696,770,254,597,607,250,375,708,178,388,1048,30,589,679,280,396,571,566,377,296
791,330,385,226,469,358,556,912,154,791,623,315,437,566,339,444,374,337,380,478,284,649,518,826,457,585,512,648,1113,535,156,359,361,585,773,689,506,318,183,507,349,617,589,30,448,462,318,168,248,290,538
1130,230,338,297,694,447,317,1104,572,1006,482,229,164,410,450,829,397,264,99,189,638,859,892,1131,265,731,797,827,1386,920,564,147,230,807,1096,1039,739,357,381,694,666,434,679,448,30,434,638,311,236,589,792
832,525,136,494,364,701,708,713,539,627,855,273,305,783,176,632,680,223,411,581,716,489,667,800,211,344,489,444,1020,707,495,466,549,450,783,760,402,179,537,336,429,818,280,462,434,30,416,389,357,371,460
526,589,410,496,209,646,820,632,283,509,906,445,564,845,277,247,661,429,578,720,487,375,294,544,525,354,224,387,827,329,231,588,621,310,498,431,235,345,471,266,61,895,396,318,638,416,30,392,442,80,255
885,229,294,149,501,348,458,944,291,830,558,189,303,493,303,558,337,224,243,361,395,683,627,905,338,589,576,668,1181,650,284,232,261,621,859,787,544,242,178,524,423,540,571,168,311,389,392,30,110,350,587
938,206,253,170,528,377,423,963,370,853,544,125,225,475,303,624,352,171,170,311,469,705,690,949,272,597,616,683,1217,716,359,177,235,646,908,843,572,222,232,542,472,517,566,248,236,357,442,110,30,396,620
572,548,361,458,213,618,778,652,277,531,870,396,514,808,230,296,629,379,530,676,483,390,344,585,475,347,257,394,863,378,223,542,580,325,542,480,247,295,440,261,107,857,377,290,589,371,80,350,396,30,278
404,784,507,701,129,866,1011,408,507,284,1114,593,690,1049,374,335,876,561,741,900,707,155,319,374,622,214,90,188,627,363,455,767,816,97,353,343,88,467,687,160,227,1097,296,538,792,460,255,587,620,278,30
