"id","weight","time","location_id"
1,13,6,2
2,8,23,3
3,4,18,4
4,12,11,5
5,7,5,6
6,7,17,7
7,11,8,8
8,6,24,9
9,12,8,10
10,3,13,11
11,3,3,12
12,11,8,13
13,14,20,14
14,12,27,15
15,3,24,16
16,8,7,17
17,3,22,18
18,8,24,19
19,1,15,20
20,7,11,21
21,11,5,22
22,9,27,23
23,4,11,24
24,12,10,25
25,7,4,26
26,3,18,27
27,4,18,28
28,7,7,29
29,9,14,30
30,4,3,31
31,14,19,32
32,11,24,33
33,6,14,34
34,14,25,35
35,10,17,36
36,14,21,37
37,4,9,38
38,2,28,39
39,4,1,40
40,8,10,41
41,12,12,42
42,3,17,43
43,14,21,44
44,13,2,45
45,8,11,46
46,10,5,47
47,10,18,48
48,5,2,49
49,8,23,50
50,14,16,51
51,15,24,52
52,2,28,53
53,6,2,54
54,12,13,55
55,11,21,56
56,4,15,57
57,13,20,58
58,14,15,59
59,6,7,60
60,14,8,61
61,8,8,62
62,3,19,63
63,9,11,64
64,8,28,65
65,10,24,66
66,12,20,67
67,9,3,68
68,10,28,69
69,5,11,70
70,13,2,71
71,10,23,72
72,4,18,73
73,12,22,74
74,10,16,75
75,9,12,76
76,8,29,77
77,11,20,78
78,6,25,79
79,8,19,80
80,14,19,81
81,2,30,82
82,4,8,83
83,13,12,84
84,8,26,85
85,8,24,86
86,7,18,87
87,8,24,88
88,11,9,89
89,1,15,90
90,2,5,91
