"id","weight","time","location_id"
1,11,19,2
2,4,30,3
3,3,14,4
4,7,17,5
5,11,30,6
6,5,8,7
7,14,7,8
8,4,25,9
9,9,3,10
10,3,26,11
11,14,22,12
12,7,9,13
13,11,6,14
14,6,5,15
15,11,26,16
16,2,17,17
17,3,19,18
18,15,29,19
19,11,14,20
20,11,24,21
21,14,7,22
22,6,26,23
23,9,22,24
24,15,10,25
25,5,29,26
26,14,2,27
27,9,22,28
28,6,26,29
29,6,3,30
30,8,22,31
31,1,27,32
32,9,16,33
33,9,14,34
34,9,22,35
35,14,19,36
36,4,21,37
37,12,10,38
38,2,6,39
39,13,30,40
40,4,21,41
41,6,26,42
42,4,26,43
43,9,7,44
44,7,19,45
45,9,23,46
46,5,30,47
47,4,24,48
48,6,27,49
49,8,19,50
50,2,17,51
51,14,8,52
52,13,2,53
53,9,30,54
54,11,3,55
55,5,2,56
56,3,20,57
57,3,28,58
58,4,15,59
59,12,19,60
60,1,19,61
61,13,22,62
62,3,27,63
63,5,4,64
64,4,4,65
65,8,7,66
66,14,19,67
67,13,21,68
68,15,26,69
69,9,14,70
70,13,12,71
71,2,11,72
72,12,26,73
73,4,19,74
74,6,1,75
75,15,29,76
76,1,9,77
77,6,6,78
78,5,26,79
79,8,19,80
80,1,9,81
81,13,11,82
82,11,20,83
83,11,18,84
84,6,28,85
85,15,9,86
86,8,2,87
87,5,29,88
88,3,20,89
89,4,20,90
90,1,2,91
