"id","weight","time","location_id"
1,5,1,2
2,15,24,3
3,7,24,4
4,11,16,5
5,11,15,6
6,14,13,7
7,12,17,8
8,13,1,9
9,5,6,10
10,7,27,11
11,12,16,12
12,9,29,13
13,15,24,14
14,14,29,15
15,13,9,16
16,9,19,17
17,14,24,18
18,5,28,19
19,5,16,20
20,11,25,21
21,3,24,22
22,8,20,23
23,15,30,24
24,11,26,25
25,9,27,26
26,12,15,27
27,2,4,28
28,13,2,29
29,12,1,30
30,8,25,31
31,14,2,32
32,7,25,33
33,12,4,34
34,9,26,35
35,14,2,36
36,10,2,37
37,14,29,38
38,5,8,39
39,9,19,40
40,7,14,41
41,5,18,42
42,6,29,43
43,14,30,44
44,5,9,45
45,4,9,46
46,2,7,47
47,14,7,48
48,13,30,49
49,10,29,50
50,2,16,51
51,5,8,52
52,12,16,53
53,14,18,54
54,2,7,55
55,10,7,56
56,1,25,57
57,15,12,58
58,3,28,59
59,10,10,60
60,10,4,61
61,12,7,62
62,13,17,63
63,2,13,64
64,13,24,65
65,7,3,66
66,2,15,67
67,2,6,68
68,11,10,69
69,9,12,70
70,8,1,71
71,2,27,72
72,10,13,73
73,11,2,74
74,3,19,75
75,6,10,76
76,3,24,77
77,5,4,78
78,14,3,79
79,3,7,80
80,9,10,81
