30,479,539,569,155,622,675,151,134,472,849,306,452,982,1215,821,818,486,301,584,885
479,30,474,122,559,453,493,527,376,517,473,333,143,550,784,381,517,403,582,143,455
539,474,30,528,508,153,193,474,500,147,498,278,564,708,906,745,389,103,389,483,628
569,122,528,30,650,486,519,619,465,586,432,418,187,476,708,291,504,462,670,93,383
155,559,508,650,30,610,661,67,239,419,880,317,552,1036,1266,909,827,471,198,655,940
622,453,153,486,610,30,83,575,566,270,381,348,557,596,787,672,266,169,506,432,522
675,493,193,519,661,83,30,626,619,308,364,401,600,585,765,689,233,221,551,462,518
151,527,474,619,67,575,626,30,219,388,844,280,525,1000,1230,878,790,435,182,622,905
134,376,500,465,239,566,619,219,30,455,761,252,349,884,1118,717,743,438,344,483,787
472,517,147,586,419,270,308,388,455,30,611,254,590,816,1019,822,506,169,281,551,732
849,473,498,432,880,381,364,844,761,611,30,594,579,254,438,458,187,482,818,373,206
306,333,278,418,317,348,401,280,252,254,594,30,382,756,983,675,545,216,285,403,662
452,143,564,187,552,557,600,525,349,590,579,382,30,632,863,406,629,491,609,238,540
982,550,708,476,1036,596,585,1000,884,816,254,756,632,30,264,360,408,680,1000,437,127
1215,784,906,708,1266,787,765,1230,1118,1019,438,983,863,264,30,552,565,889,1220,671,361
821,381,745,291,909,672,689,878,717,822,458,675,406,360,552,30,592,688,929,305,309
818,517,389,504,827,266,233,790,743,506,187,545,629,408,565,592,30,394,737,441,361
486,403,103,462,471,169,221,435,438,169,482,216,491,680,889,688,394,30,373,421,594
301,582,389,670,198,506,551,182,344,281,818,285,609,1000,1220,929,737,373,30,658,908
584,143,483,93,655,432,462,622,483,551,373,403,238,437,671,305,441,421,658,30,342
885,455,628,383,940,522,518,905,787,732,206,662,540,127,361,309,361,594,908,342,30
