"id","weight","time","location_id"
1,4,13,2
2,13,16,3
3,5,19,4
4,2,29,5
5,12,4,6
6,7,15,7
7,4,2,8
8,6,26,9
9,7,3,10
10,11,20,11
11,3,9,12
12,14,28,13
13,9,21,14
14,4,19,15
15,5,25,16
16,11,6,17
17,6,26,18
18,3,10,19
19,8,23,20
20,4,9,21
21,7,13,22
22,14,28,23
23,6,30,24
24,6,8,25
25,12,5,26
26,1,3,27
27,12,22,28
28,8,9,29
29,10,22,30
30,9,2,31
31,12,6,32
32,2,21,33
33,12,22,34
34,15,28,35
35,1,22,36
36,9,27,37
37,13,9,38
38,6,17,39
39,7,15,40
40,3,10,41
41,11,5,42
42,4,23,43
43,5,15,44
44,12,4,45
45,13,25,46
46,6,11,47
47,8,6,48
48,14,14,49
49,7,14,50
50,5,6,51
51,15,24,52
52,7,20,53
53,8,24,54
54,2,14,55
55,12,19,56
56,6,12,57
57,15,27,58
58,14,19,59
59,14,29,60
60,7,18,61
61,13,17,62
62,12,18,63
63,8,28,64
64,13,5,65
65,3,14,66
66,11,17,67
67,8,17,68
68,6,4,69
69,3,16,70
70,10,20,71
71,8,13,72
72,13,1,73
73,10,17,74
74,6,30,75
75,13,2,76
76,9,19,77
77,9,6,78
78,2,3,79
79,11,12,80
80,9,15,81
