"id","weight","time","location_id"
1,6,27,2
2,11,15,3
3,12,2,4
4,1,9,5
5,14,26,6
6,10,29,7
7,5,4,8
8,8,9,9
9,2,29,10
10,1,19,11
11,12,2,12
12,4,11,13
13,5,16,14
14,5,7,15
15,9,12,16
16,4,8,17
17,9,27,18
18,5,2,19
19,7,12,20
20,7,14,21
21,11,8,22
22,12,17,23
23,2,20,24
24,7,20,25
25,11,27,26
26,5,27,27
27,4,11,28
28,11,2,29
29,2,6,30
30,13,9,31
31,11,9,32
32,7,2,33
33,6,20,34
34,11,19,35
35,11,20,36
36,8,30,37
37,9,11,38
38,7,24,39
39,14,17,40
40,4,11,41
41,12,16,42
42,3,27,43
43,3,27,44
44,12,14,45
45,7,29,46
46,11,19,47
47,3,14,48
48,2,15,49
49,4,17,50
50,1,18,51
51,9,17,52
52,11,24,53
53,9,9,54
54,2,4,55
55,2,9,56
56,14,29,57
57,6,7,58
58,15,12,59
59,11,21,60
60,14,20,61
61,13,1,62
62,2,30,63
63,2,26,64
64,2,15,65
65,7,15,66
66,8,9,67
67,9,21,68
68,9,29,69
69,10,14,70
70,7,27,71
