"id","weight","time","location_id"
1,11,11,2
2,12,27,3
3,6,24,4
4,12,16,5
5,9,15,6
6,14,7,7
7,14,17,8
8,13,7,9
9,11,20,10
10,5,4,11
11,10,27,12
12,11,5,13
13,10,14,14
14,10,24,15
15,6,25,16
16,14,7,17
17,3,8,18
18,9,1,19
19,7,27,20
20,10,24,21
21,4,8,22
22,5,22,23
23,4,6,24
24,9,27,25
25,1,29,26
26,13,11,27
27,14,26,28
28,14,23,29
29,14,6,30
30,12,16,31
31,6,19,32
32,11,1,33
33,2,11,34
34,11,26,35
35,13,7,36
36,9,6,37
37,7,27,38
38,6,30,39
39,7,20,40
40,8,27,41
41,11,23,42
42,3,27,43
43,14,7,44
44,6,29,45
45,4,27,46
46,11,18,47
47,8,27,48
48,11,11,49
49,7,26,50
50,6,2,51
51,1,4,52
52,9,22,53
53,6,10,54
54,5,8,55
55,2,17,56
56,3,28,57
57,10,6,58
58,4,16,59
59,6,15,60
60,1,13,61
61,7,28,62
62,4,25,63
63,10,11,64
64,7,8,65
65,9,5,66
66,5,30,67
67,5,20,68
68,9,12,69
69,8,13,70
70,4,17,71
