"lon","lat"
7.6503014,51.9498799
7.5970566,51.9556294
7.6500009,51.9681734
7.5930105,51.975277
7.6396278,51.9668951
7.631613,51.976188
7.6174242,51.9445123
7.65,51.9531224
7.6166964,51.9532809
7.6451868,51.96475
7.5982961,51.966712
7.6101736,51.9727101
7.58469,51.9653
7.6237645,51.9527276
7.654528,51.954503
7.621907,51.9781995
7.6206177,51.9633789
7.6291469,51.9596184
7.63366,51.96637
7.6177239,51.9720578
7.63802,51.96911
7.58923,51.96915
7.6458742,51.9736959
7.6329324,51.9738727
7.62376,51.96468
7.6343981,51.9693705
7.6129733,51.9797401
7.62758,51.95977
7.6365,51.96489
7.60557,51.9588
7.6366,51.9743
