30,731,1382,818,638,322,472,486,459,394,1129,1080,396,247,432,598,404,1083,514,1215,1238,696,672,526,622,134,1311,849,675,970,672,952,569,539,345,861,405,942,628,1072,821,316,612,496,428,737,452,533,572,461,261,584,155,368,832,347,910,301,1378,95,564
731,30,818,146,159,571,692,347,337,495,610,479,588,530,387,517,374,442,505,572,609,567,353,277,251,650,692,165,245,481,177,297,388,366,505,509,360,443,269,406,496,537,423,295,440,132,514,275,230,320,610,324,754,607,176,725,217,685,790,689,395
1382,818,30,835,830,1324,1472,1122,966,1027,286,369,1358,1237,1150,857,1114,419,1291,323,272,790,741,906,1039,1280,204,691,1025,443,780,556,845,1152,1258,576,1083,470,792,479,616,1104,809,938,1211,744,985,1051,870,1072,1174,829,1452,1372,855,1482,663,1434,92,1366,851
818,146,835,30,274,625,717,394,446,607,654,502,626,607,443,633,447,447,522,565,609,678,464,390,266,743,692,187,233,545,291,313,504,389,561,601,442,508,384,395,592,644,538,404,486,232,629,327,344,390,715,441,827,650,62,770,202,737,800,770,511
638,159,830,274,30,525,676,329,220,370,598,499,559,453,350,394,315,485,508,618,648,453,246,154,290,548,726,244,309,449,83,347,262,373,459,434,288,412,150,466,412,418,303,178,413,130,386,263,104,272,493,199,678,573,303,683,306,636,811,603,269
322,571,1324,625,525,30,226,260,414,468,1086,994,111,174,215,668,241,974,223,1107,1140,768,655,459,395,326,1220,705,442,931,574,831,578,283,97,868,273,896,575,945,834,417,636,429,171,617,538,330,487,286,422,560,261,96,630,188,758,144,1307,257,577
472,692,1472,717,676,226,30,380,597,664,1244,1136,155,369,357,860,408,1104,226,1234,1272,960,833,632,482,505,1354,826,515,1094,729,959,764,359,273,1047,446,1057,746,1066,1014,612,823,605,293,758,733,451,652,437,613,739,368,160,713,169,872,202,1449,411,764
486,347,1122,394,329,260,380,30,300,432,896,786,270,270,85,582,133,757,212,889,924,672,507,310,169,438,1006,482,221,748,382,613,462,103,198,717,164,711,412,723,688,422,520,290,123,408,491,103,316,109,467,421,471,290,400,409,532,373,1099,430,464
459,337,966,446,220,414,597,300,30,195,718,653,472,303,287,312,223,654,471,786,810,404,272,98,353,364,884,433,396,559,245,525,198,370,355,484,183,527,204,645,450,230,257,72,349,315,235,272,147,221,304,176,517,474,470,566,496,512,957,433,199
394,495,1027,607,370,468,664,432,195,30,771,743,542,328,402,241,335,760,580,887,903,343,319,247,510,290,970,575,556,614,380,646,212,505,426,497,299,590,305,764,457,108,250,233,453,455,100,422,296,358,178,247,488,534,632,598,637,540,1027,394,206
1129,610,286,654,598,1086,1244,896,718,771,30,203,1126,990,917,603,876,287,1072,292,263,541,487,661,829,1026,282,499,824,189,545,377,591,933,1020,324,843,220,545,356,363,849,554,692,981,523,730,827,629,839,919,577,1202,1137,680,1243,491,1193,294,1114,596
1080,479,369,502,499,994,1136,786,653,743,203,30,1024,917,816,614,784,115,953,181,190,580,456,589,700,981,261,353,687,212,452,220,562,813,927,373,757,209,482,183,402,816,542,620,876,409,716,714,548,740,891,530,1138,1039,525,1152,332,1106,343,1056,569
396,588,1358,626,559,111,155,270,472,542,1126,1024,30,253,239,736,284,997,168,1129,1164,835,709,509,390,407,1246,722,431,974,611,853,639,268,148,923,322,938,623,963,889,494,697,481,178,646,611,343,531,318,502,615,318,63,627,178,772,163,1337,331,639
247,530,1237,607,453,174,369,270,303,328,990,917,253,30,215,533,190,908,331,1041,1069,634,544,360,406,207,1146,655,458,832,496,769,456,326,152,753,200,800,476,888,716,273,511,329,221,552,398,317,399,248,281,448,256,239,620,302,714,246,1225,194,454
432,387,1150,443,350,215,357,85,287,402,917,816,239,215,30,567,97,792,215,924,958,661,511,310,223,385,1039,520,275,766,402,648,454,146,149,723,136,730,420,761,692,383,513,285,95,437,465,146,325,109,423,420,418,254,450,369,573,329,1129,375,455
598,517,857,633,394,668,860,582,312,241,603,614,736,533,567,30,502,653,752,765,771,132,216,316,618,495,828,546,652,456,372,571,164,651,618,312,461,441,279,675,271,315,126,327,626,439,177,548,340,503,369,225,698,732,663,805,601,747,867,603,158
404,374,1114,447,315,241,408,133,223,335,876,784,284,190,97,502,30,767,280,900,932,596,455,255,253,343,1011,504,306,722,364,625,392,205,175,669,71,687,369,741,636,319,451,227,155,409,397,160,278,88,365,362,411,292,460,398,561,351,1097,353,393
1083,442,419,447,485,974,1104,757,654,760,287,115,997,908,792,653,767,30,917,164,197,631,482,588,660,987,280,309,641,281,443,175,584,777,907,435,742,269,490,99,459,829,572,618,849,388,741,685,542,718,906,544,1132,1015,466,1130,274,1087,383,1054,592
514,505,1291,522,508,223,226,212,471,580,1072,953,168,331,215,752,280,917,30,1045,1084,845,689,490,289,504,1167,638,320,927,561,773,638,170,209,899,321,889,594,876,870,550,696,467,158,580,645,275,498,285,576,600,451,200,518,309,681,301,1265,450,639
1215,572,323,565,618,1107,1234,889,786,887,292,181,1129,1041,924,765,900,164,1045,30,81,731,603,720,787,1118,158,438,765,358,577,306,708,906,1040,522,876,360,619,201,552,958,691,751,981,521,863,816,676,851,1033,671,1266,1147,581,1263,396,1220,275,1187,715
1238,609,272,609,648,1140,1272,924,810,903,263,190,1164,1069,958,771,932,197,1084,81,30,730,616,745,827,1140,113,476,806,353,604,342,722,945,1073,516,906,360,640,245,549,975,701,776,1016,553,875,852,702,884,1050,689,1292,1182,626,1297,438,1252,225,1212,729
696,567,790,678,453,768,960,672,404,343,541,580,835,634,661,132,596,631,845,731,730,30,245,397,694,594,779,571,724,407,421,571,241,739,717,248,556,401,332,663,212,416,185,412,722,477,277,632,411,593,466,293,799,832,710,906,620,849,806,704,238
672,353,741,464,246,655,833,507,272,319,487,456,709,544,511,216,455,482,689,603,616,245,30,231,501,569,681,363,524,328,208,388,137,566,594,244,417,301,129,496,212,394,123,258,575,263,290,454,223,434,467,126,748,714,495,808,416,754,739,658,143
526,277,906,390,154,459,632,310,98,247,661,589,509,360,310,316,255,588,490,720,745,397,231,30,332,431,820,366,368,504,177,457,186,374,396,444,217,471,147,578,413,294,242,61,375,248,273,266,80,235,369,141,579,515,416,614,429,563,895,498,190
622,251,1039,266,290,395,482,169,353,510,829,700,390,406,223,618,253,660,289,787,827,694,501,332,30,566,909,381,83,693,340,516,486,153,336,694,267,655,402,617,672,519,539,325,254,338,557,125,313,201,576,432,610,415,267,535,422,506,1010,567,491
134,650,1280,743,548,326,505,438,364,290,1026,981,407,207,385,495,343,987,504,1118,1140,594,569,431,566,30,1211,761,619,867,579,859,465,500,325,757,335,840,530,979,717,212,508,403,398,647,349,473,480,397,163,483,239,384,760,398,823,344,1276,146,460
1311,692,204,692,726,1220,1354,1006,884,970,282,261,1246,1146,1039,828,1011,280,1167,158,113,779,681,820,909,1211,30,559,889,403,681,424,788,1027,1153,562,984,417,712,327,597,1044,763,851,1097,632,939,933,778,964,1118,759,1368,1263,708,1377,521,1332,149,1287,795
849,165,691,187,244,705,826,482,433,575,499,353,722,655,520,546,504,309,638,438,476,571,363,366,381,761,559,30,364,390,225,166,432,498,638,460,485,353,310,271,458,629,450,391,575,150,579,409,316,451,705,373,880,741,214,859,93,818,660,811,440
675,245,1025,233,309,442,515,221,396,556,824,687,431,458,275,652,306,641,320,765,806,724,524,368,83,619,889,364,30,695,355,500,519,193,385,708,319,656,426,594,689,568,570,365,301,340,600,177,344,253,627,462,661,458,228,578,399,551,993,620,525
970,481,443,545,449,931,1094,748,559,614,189,212,974,832,766,456,722,281,927,358,353,407,328,504,693,867,403,390,695,30,396,297,433,790,866,194,688,68,387,335,226,691,398,535,830,385,575,681,474,687,762,418,1043,984,574,1088,401,1036,444,955,438
672,177,780,291,83,574,729,382,245,380,545,452,611,496,402,372,364,443,561,577,604,421,208,177,340,579,681,225,355,396,30,310,246,426,508,385,335,359,124,430,365,436,277,206,465,105,386,316,130,323,513,184,719,623,321,732,287,684,763,641,254
952,297,556,313,347,831,959,613,525,646,377,220,853,769,648,571,625,175,773,306,342,571,388,457,516,859,424,166,500,297,310,30,480,633,764,411,602,267,371,150,422,710,481,486,705,248,636,540,410,575,787,431,995,871,335,987,144,944,524,920,488
569,388,845,504,262,578,764,462,198,212,591,562,639,456,454,164,392,584,638,708,722,241,137,186,486,465,788,432,519,433,246,480,30,528,521,329,351,407,153,594,291,288,89,202,516,317,187,421,206,384,361,93,650,640,533,726,491,670,845,559,38
539,366,1152,389,373,283,359,103,370,505,933,813,268,326,146,651,205,777,170,906,945,739,566,374,153,500,1027,498,193,790,426,633,528,30,231,772,237,753,469,737,745,494,585,356,145,441,564,142,373,180,538,483,508,295,389,415,543,389,1125,479,531
345,505,1258,561,459,97,273,198,355,426,1020,927,148,152,149,618,175,907,209,1040,1073,717,594,396,336,325,1153,638,385,866,508,764,521,231,30,808,209,831,512,878,774,384,580,367,117,550,495,265,422,219,401,499,307,149,568,255,692,211,1240,282,521
861,509,576,601,434,868,1047,717,484,497,324,373,923,753,723,312,669,435,899,522,516,248,244,444,694,757,562,460,708,194,385,411,329,772,808,30,630,196,334,479,71,576,279,472,788,407,447,659,431,646,640,339,948,927,632,1020,492,965,589,856,332
405,360,1083,442,288,273,446,164,183,299,843,757,322,200,136,461,71,742,321,876,906,556,417,217,267,335,984,485,319,688,335,602,351,237,209,630,30,653,333,720,597,289,410,189,196,385,359,172,244,96,341,323,425,328,457,430,544,381,1068,360,352
