"id","weight","time","location_id"
1,5,24,2
2,10,3,3
3,15,12,4
4,8,27,5
5,14,16,6
6,4,12,7
7,8,13,8
8,10,2,9
9,4,18,10
10,7,15,11
11,10,4,12
12,13,13,13
13,6,3,14
14,10,2,15
15,6,8,16
16,12,29,17
17,9,2,18
18,10,5,19
19,6,28,20
20,10,4,21
21,11,28,22
22,12,21,23
23,12,1,24
24,1,26,25
25,4,16,26
26,11,13,27
27,14,26,28
28,2,18,29
29,10,3,30
30,10,5,31
31,14,13,32
32,14,25,33
33,1,12,34
34,6,19,35
35,13,19,36
36,4,17,37
37,8,18,38
38,8,23,39
39,8,21,40
40,14,21,41
41,9,29,42
42,9,8,43
43,10,26,44
44,9,21,45
45,2,10,46
46,5,6,47
47,8,23,48
48,5,30,49
49,8,26,50
50,7,21,51
