"","lon","lat","fromLat","fromLon","toLat","toLon"
"1",0.936324223151676,0.302656146479135,0.564656989700853,0.594453675585852,1,0.686018640539339
"2",0.594453675585852,0.564656989700853,0.79097151117267,0.283375350942552,0.53065711016064,0.194732519719623
"3",0.686018640539339,1,0.53065711016064,0.194732519719623,0.0120460157808869,0.455986554365038
"4",0.283375350942552,0.79097151117267,0,0.78353291697702,0.302656146479135,0.936324223151676
"5",0,0.421610552309642,0.302656146479135,0.936324223151676,0.575317713665798,0.939843197921999
"6",0.194732519719623,0.53065711016064,0.421610552309642,0,0.53065711016064,0.194732519719623
"7",0.78353291697702,0,0.564656989700853,0.594453675585852,0.79097151117267,0.283375350942552
"8",0.939843197921999,0.575317713665798,0.0120460157808869,0.455986554365038,0,0.78353291697702
"9",0.455986554365038,0.0120460157808869,0.302656146479135,0.936324223151676,0.957673312051726,1
"10",1,0.957673312051726,0.564656989700853,0.594453675585852,1,0.686018640539339
