0,1105,1261,1378,1210,1265,1197,1068,1173,1176,1123,903,864,845,1043
843,0,959,1001,878,793,934,1093,1070,1169,995,1268,1269,1145,1142
1136,1097,0,1076,252,303,201,278,188,84,86,189,228,506,628
522,485,556,0,451,439,573,563,545,250,215,315,206,388,381
410,299,332,254,0,1236,299,65,98,220,130,311,346,190,332
610,733,626,589,660,0,555,543,677,718,649,437,492,549,473
492,485,235,486,436,387,0,1344,346,72,145,267,176,357,392
236,339,617,739,633,596,667,0,562,550,684,725,656,444,515
556,475,499,522,181,493,443,389,0,1184,247,101,153,148,77
258,293,137,279,557,680,574,537,608,0,502,490,624,665,596
385,440,497,421,439,432,209,433,384,335,0,1226,289,250,301
149,86,292,336,164,322,600,722,616,579,650,0,545,533,667
707,639,427,482,539,463,482,475,259,476,426,377,0,1139,203
167,219,124,91,214,249,78,235,513,636,530,493,563,0,458
446,580,621,552,341,396,453,377,395,388,234,389,340,291,0
