0,1105,1261,1378,1210,1265,1197,1068,1173,1176,1123,903,864,845
1076,0,252,303,201,278,188,84,86,189,228,506,628,522
1236,299,0,65,98,220,130,311,346,190,332,610,733,626
1344,346,72,0,145,267,176,357,392,236,339,617,739,633
1184,247,101,153,0,148,77,258,293,137,279,557,680,574
1226,289,250,301,149,0,86,292,336,164,322,600,722,616
1139,203,167,219,124,91,0,214,249,78,235,513,636,530
1066,79,290,342,240,255,226,0,124,166,249,527,650,543
1144,86,298,350,248,325,235,152,0,236,274,552,675,569
1069,219,193,245,143,199,129,134,266,0,252,530,652,546
1119,240,357,395,307,383,293,243,308,261,0,359,482,376
903,589,616,676,566,642,552,572,636,520,402,0,286,83
992,563,589,650,539,616,526,546,609,493,375,178,0,195
818,522,632,692,582,659,568,525,590,536,418,56,257,0
